SNO,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,PH_DETAILS,EC_DETAILS,OC_DETAILS,AVN_DETAILS,PHOS_DETAILS,POT_DETAILS,SULPHUR,ZINC_DETAILS,BORON_DETAILS,IRON_DETAILS,MANGAN_DETAILS,COPPER_DETAILS
OOT133,157,300,577,588,1022,2058,2370,2326,2479,2494,1752,1092,5.6,0.41,0.3622,202,25,479.4,0.001,2.3511,0.001,0.04815,0.01,1.1911
OOT134,417,581,902,1017,1467,2488,2862,2922,3023,3002,2291,1602,4.16,0.63,0.056,243,12,1859,0.001,30.1494,0.001,0.05457,0.01,0.36564
OOT135,132,230,388,274,670,1756,2131,2145,2304,2112,1332,703,4.53,0.25,0.7455,555,15,117.9,0.001,3.4575,0.001,0.2247,0.01,1.29082
OOT136,7087,6895,6458,6107,6156,5989,6044,5801,5945,7071,2545,2146,4.81,0.169,0.512,204,78,124.7,0.001,3.8724,0.001,0.10272,0.1,2.34342
OOT137,7087,6895,6458,6107,6156,5989,6044,5801,5945,7071,2545,2146,4.31,0.87,0.1314,342,98,135.9,0.001,2.8121,0.001,0.0963,0.01,0.03878
OOT138,1530,896,1072,995,1343,2104,2365,2280,2473,4481,1215,912,4.31,0.87,0.1234,354,25,235.9,0.001,1.08335,0.001,0.2568,0.01,2.6592
OOT139,2047,1671,1708,1559,1892,2559,2814,2793,2902,5028,1471,1169,5.96,0.44,0.9902,324,31,152,0.001,7.1455,0.001,0.135783,0.01,0
OOT140,745,1142,1326,1433,1914,2712,2985,3003,3226,3338,2471,2100,6.57,0.29,0.0003,324,138.6,109.8,0.2,2.3511,0.001,0.13482,31.1,2.1052
OOT141,765,846,1022,944,1361,2302,2623,2702,2775,3444,1764,1221,6.57,0.6,0.4484,251,152,224.7,0.001,5.32455,0.001,0.207045,0.01,0.72297
OOT142,1277,1682,1889,1830,2314,3445,3719,3617,3827,3933,2917,2107,6.84,0.17,0.7703,560,15,125,0.001,23.7876,0.001,10.4646,0.01,0.277
OOT143,132,238,549,602,1005,1983,2256,2343,2368,2528,1668,1032,6.46,0.09,0.5258,308,23,327.1,0.001,1.1525,0.001,18.2649,0.01,1.1911
OOT144,117,278,588,652,1090,2310,2684,2849,2892,2148,2159,1325,5.4,0.18,0.1418,560,22,1247,0.001,1.68265,0.001,28.7616,0.01,0
OOT145,117,278,588,652,1090,2310,2684,2849,2892,2148,2159,1325,6.06,0.15,0.77,560,17,325.7,0.001,2.4894,0.001,3.36087,0.01,0.6371
OOT146,73,133,337,257,593,1518,1792,1913,1956,2469,1104,570,6.21,0.18,0.7625,560,79,1121,0.001,3.4575,0.001,3.54384,0.01,0.34625
OOT147,368,298,526,401,942,2323,2722,2695,2953,2943,1774,947,5.74,0.06,0.3644,204,96,325,0.001,3.7341,0.001,3.32556,0.01,0.36564
OOT148,33,82,289,169,614,2156,2675,2863,2921,2746,1305,599,6.25,0.1,0.4968,278,65,32,0.001,4.4256,0.001,2.42676,0.01,1.14955
OOT149,8285,9643,9160,8740,9404,9198,9134,9151,9084,14649,7004,6234,6.31,0.001,0.0003,324,178.8,172.7,0.001,9.2661,2.2,2.3433,0.01,1.0249
OOT150,8285,9643,9160,8740,9404,9198,9134,9151,9084,14649,7004,6234,7.38,0.532,0.95,560,74.9,133.6,0.001,16.8265,0.001,7.32201,0.01,0.31301
OOT151,372,447,774,759,1306,2614,2974,3076,3222,3232,2562,1482,5.86,0.14,0.14654,452,78,352.7,0.1,2.5816,0.001,2.3754,0.01,2.63704
OOT152,172,284,559,384,1039,2852,3515,3517,3758,3619,2110,1121,6.42,0.06,0.4654,234,96,235,0.001,1.844,0.001,2.2791,0.01,0.5263
OOT153,5524,4225,4265,4119,4675,5325,5622,5398,5688,9698,4878,4258,5.05,0.25,0.5344,321,32,249,0.001,2.3972,4.3,3.60483,0.01,0.40165
OOT155,277,407,721,664,1192,2780,3358,3302,3485,3427,2103,1306,6.54,0.53,0.46414,124,41,112.3,0.001,3.5036,4.3,0,0.01,1.31021
OOT156,210,260,468,427,906,2049,2455,2489,2690,2548,1937,1130,4.85,0.23,0.452441,343,111,100.1,0.001,4.7483,4.3,6.27876,0.01,0.42381
